variable,dataset,tipo,descripcion,unidad,aditiva_o_tasa,nivel_educativo,sector,ambito,posible_dimension_proyecto,observaciones_metodologicas
inicial_1314,trayectoria,Int64,Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
inicial_20,trayectoria,Int64,Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_inicial_1,trayectoria,Int64,Mujeres: Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_inicial_2,trayectoria,Int64,Mujeres: Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_inicial_3,trayectoria,Int64,Mujeres: Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_inicial_4,trayectoria,Int64,Mujeres: Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_inicial_5,trayectoria,Int64,Mujeres: Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_inicial_6,trayectoria,Int64,Mujeres: Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_inicial_7,trayectoria,Int64,Mujeres: Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_inicial_8,trayectoria,Int64,Mujeres: Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_inicial_9,trayectoria,Int64,Mujeres: Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_inicial_10,trayectoria,Int64,Mujeres: Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_inicial_11,trayectoria,Int64,Mujeres: Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_inicial_12,trayectoria,Int64,Mujeres: Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_inicial_1314,trayectoria,Int64,Mujeres: Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_inicial_20,trayectoria,Int64,Mujeres: Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
entrados_1,trayectoria,Int64,Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
entrados_2,trayectoria,Int64,Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
entrados_3,trayectoria,Int64,Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
entrados_4,trayectoria,Int64,Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
entrados_5,trayectoria,Int64,Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
entrados_6,trayectoria,Int64,Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
entrados_7,trayectoria,Int64,Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
entrados_8,trayectoria,Int64,Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
entrados_9,trayectoria,Int64,Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
entrados_10,trayectoria,Int64,Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
entrados_11,trayectoria,Int64,Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
entrados_12,trayectoria,Int64,Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
entrados_1314,trayectoria,Int64,Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
entrados_20,trayectoria,Int64,Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_entrados_1,trayectoria,Int64,Mujeres: Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_entrados_2,trayectoria,Int64,Mujeres: Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_entrados_3,trayectoria,Int64,Mujeres: Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_entrados_4,trayectoria,Int64,Mujeres: Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_entrados_5,trayectoria,Int64,Mujeres: Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_entrados_6,trayectoria,Int64,Mujeres: Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_entrados_7,trayectoria,Int64,Mujeres: Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_entrados_8,trayectoria,Int64,Mujeres: Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_entrados_9,trayectoria,Int64,Mujeres: Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_entrados_10,trayectoria,Int64,Mujeres: Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_entrados_11,trayectoria,Int64,Mujeres: Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_entrados_12,trayectoria,Int64,Mujeres: Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_entrados_1314,trayectoria,Int64,Mujeres: Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_entrados_20,trayectoria,Int64,Mujeres: Entrados durante el ano en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
scp_1,trayectoria,Int64,Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
scp_2,trayectoria,Int64,Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
scp_3,trayectoria,Int64,Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
scp_4,trayectoria,Int64,Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
scp_5,trayectoria,Int64,Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
scp_6,trayectoria,Int64,Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
scp_7,trayectoria,Int64,Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
scp_8,trayectoria,Int64,Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
scp_9,trayectoria,Int64,Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
scp_10,trayectoria,Int64,Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
scp_11,trayectoria,Int64,Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
scp_12,trayectoria,Int64,Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
scp_1314,trayectoria,Int64,Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
scp_20,trayectoria,Int64,Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_scp_1,trayectoria,Int64,Mujeres: Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_scp_2,trayectoria,Int64,Mujeres: Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_scp_3,trayectoria,Int64,Mujeres: Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_scp_4,trayectoria,Int64,Mujeres: Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_scp_5,trayectoria,Int64,Mujeres: Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_scp_6,trayectoria,Int64,Mujeres: Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_scp_7,trayectoria,Int64,Mujeres: Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_scp_8,trayectoria,Int64,Mujeres: Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_scp_9,trayectoria,Int64,Mujeres: Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_scp_10,trayectoria,Int64,Mujeres: Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_scp_11,trayectoria,Int64,Mujeres: Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_scp_12,trayectoria,Int64,Mujeres: Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_scp_1314,trayectoria,Int64,Mujeres: Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_scp_20,trayectoria,Int64,Mujeres: Salidos con pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ssp_1,trayectoria,Int64,Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ssp_2,trayectoria,Int64,Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ssp_3,trayectoria,Int64,Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ssp_4,trayectoria,Int64,Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ssp_5,trayectoria,Int64,Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ssp_6,trayectoria,Int64,Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ssp_7,trayectoria,Int64,Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ssp_8,trayectoria,Int64,Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ssp_9,trayectoria,Int64,Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ssp_10,trayectoria,Int64,Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ssp_11,trayectoria,Int64,Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ssp_12,trayectoria,Int64,Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ssp_1314,trayectoria,Int64,Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ssp_20,trayectoria,Int64,Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ssp_1,trayectoria,Int64,Mujeres: Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ssp_2,trayectoria,Int64,Mujeres: Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ssp_3,trayectoria,Int64,Mujeres: Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ssp_4,trayectoria,Int64,Mujeres: Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ssp_5,trayectoria,Int64,Mujeres: Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ssp_6,trayectoria,Int64,Mujeres: Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ssp_7,trayectoria,Int64,Mujeres: Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ssp_8,trayectoria,Int64,Mujeres: Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ssp_9,trayectoria,Int64,Mujeres: Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ssp_10,trayectoria,Int64,Mujeres: Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ssp_11,trayectoria,Int64,Mujeres: Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ssp_12,trayectoria,Int64,Mujeres: Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ssp_1314,trayectoria,Int64,Mujeres: Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ssp_20,trayectoria,Int64,Mujeres: Salidos sin pase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ultimo_1,trayectoria,Int64,Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ultimo_2,trayectoria,Int64,Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ultimo_3,trayectoria,Int64,Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ultimo_4,trayectoria,Int64,Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ultimo_5,trayectoria,Int64,Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ultimo_6,trayectoria,Int64,Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ultimo_7,trayectoria,Int64,Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ultimo_8,trayectoria,Int64,Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ultimo_9,trayectoria,Int64,Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ultimo_10,trayectoria,Int64,Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ultimo_11,trayectoria,Int64,Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ultimo_12,trayectoria,Int64,Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ultimo_1314,trayectoria,Int64,Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
ultimo_20,trayectoria,Int64,Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
